Skills,Interests,CGPA,Experience,Career
Pandas,Artificial Intelligence,3.45,No,Machine Learning Engineer
Pandas,Research,3.86,Yes,Business Analyst
Data Analysis,Data Analytics,3.1,Yes,Product Manager
React,Software Development,3.49,Yes,Mobile App Developer
PyTorch,Machine Learning,3.03,Yes,Machine Learning Engineer
Deep Learning,Research,3.18,No,Data Scientist
Dart,Mobile App Development,3.41,Yes,Flutter Developer
Power BI,Data Analytics,3.57,Yes,Product Manager
Linux,Research,3.83,No,AI Engineer
Python,Networking,2.64,No,System Administrator
SQL,Data Analytics,3.43,Yes,Business Analyst
Power BI,Data Science,3.22,Yes,Data Analyst
Docker,Automation,3.81,Yes,DevOps Engineer
Ethical Hacking,Networking,3.33,No,Cyber Security Analyst
Pandas,Artificial Intelligence,3.18,Yes,Data Scientist
Linux,Artificial Intelligence,3.54,Yes,AI Engineer
React,Software Development,3.08,Yes,Full Stack Developer
SQL,Research,3.41,No,Data Scientist
Excel,Data Science,3.79,Yes,Data Scientist
Selenium,Automation,3.37,Yes,QA Engineer
Tableau,Business Intelligence,3.49,Yes,Business Intelligence Analyst
Flutter,Software Development,3.19,Yes,Flutter Developer
Photoshop,Mobile App Development,3.52,No,UI/UX Designer
SQL,Business Intelligence,3.89,Yes,Data Analyst
Docker,Automation,3.25,Yes,Cloud Engineer
Python,DevOps,3.41,Yes,System Administrator
Azure,DevOps,3.8,Yes,Cloud Engineer
Dart,Mobile App Development,2.97,No,Flutter Developer
Docker,Web Development,2.71,Yes,Full Stack Developer
SQL,Business Intelligence,3.2,Yes,Business Intelligence Analyst
PostgreSQL,Database Management,2.79,Yes,Backend Developer
Java,Research,2.84,Yes,Software Engineer
Dart,Web Development,2.71,No,Mobile App Developer
SQL,Data Analytics,3.57,Yes,Business Analyst
Figma,Software Development,2.83,No,Frontend Developer
Linux,Networking,3.78,Yes,Cyber Security Analyst
PostgreSQL,Data Science,2.83,No,Data Analyst
Ethical Hacking,Research,3.23,No,Cyber Security Analyst
JavaScript,Software Development,3.59,No,Flutter Developer
Docker,Cloud Computing,2.95,Yes,Cyber Security Analyst
JavaScript,UI/UX Design,2.84,No,Frontend Developer
Firebase,UI/UX Design,2.7,No,Frontend Developer
Azure,Machine Learning,3.23,No,AI Engineer
Networking,Automation,3.42,No,Cloud Solutions Architect
Linux,DevOps,3.75,Yes,Network Engineer
Azure,Cloud Computing,3.15,Yes,Cloud Engineer
Linux,Software Development,3.42,No,QA Engineer
SQL,Automation,3.55,No,QA Engineer
Linux,Backend Development,2.77,Yes,Backend Developer
JavaScript,Web Development,2.82,Yes,QA Engineer
JavaScript,Web Development,3.05,No,Software Engineer
SQL,Data Analytics,3.99,Yes,Product Manager
JavaScript,Software Development,2.74,No,Frontend Developer
Pandas,Business Intelligence,3.38,No,Data Analyst
Java,Software Development,3.75,Yes,Software Engineer
Node.js,Software Development,3.25,Yes,Backend Developer
Python,Business Intelligence,3.26,No,Data Analyst
Azure,Automation,3.97,Yes,Cloud Solutions Architect
Power BI,Software Development,3.81,Yes,Product Manager
HTML,Software Development,2.72,No,Frontend Developer
Docker,Networking,3.61,Yes,Cloud Solutions Architect
Azure,DevOps,3.32,No,Network Engineer
Azure,Networking,3.08,No,Network Engineer
NumPy,Artificial Intelligence,3.53,No,Machine Learning Engineer
React,Mobile App Development,2.54,No,UI/UX Designer
SQL,Web Development,3.17,Yes,Full Stack Developer
React,UI/UX Design,2.9,No,Frontend Developer
Java,Web Development,3.8,Yes,Software Engineer
Tableau,Research,3.62,No,Business Analyst
Kubernetes,Networking,3.57,No,Cloud Engineer
HTML,Database Management,3.63,No,Full Stack Developer
Express.js,Web Development,3.53,Yes,Full Stack Developer
Figma,Web Development,3.55,No,UI/UX Designer
Networking,Networking,3.58,No,System Administrator
Java,Automation,3.27,No,Software Engineer
TensorFlow,Automation,3.65,Yes,Machine Learning Engineer
CSS,Software Development,3.47,Yes,Frontend Developer
Kubernetes,Automation,3.57,No,DevOps Engineer
Deep Learning,Research,3.02,No,Data Scientist
Linux,Networking,3.06,Yes,System Administrator
TensorFlow,Machine Learning,3.01,No,Data Scientist
Firebase,Software Development,2.98,Yes,Flutter Developer
SQL,Software Development,2.87,Yes,QA Engineer
SQL,DevOps,2.76,Yes,System Administrator
Docker,DevOps,3.4,No,System Administrator
Power BI,Data Science,3.11,Yes,Business Intelligence Analyst
AWS,DevOps,2.79,No,System Administrator
Linux,Artificial Intelligence,3.12,No,Machine Learning Engineer
Figma,UI/UX Design,2.7,No,Frontend Developer
JavaScript,Research,3.56,No,Software Engineer
MySQL,Data Analytics,2.82,Yes,Business Analyst
SQL,Software Development,3.44,Yes,QA Engineer
AWS,DevOps,2.89,Yes,System Administrator
Azure,Automation,3.39,No,Cloud Solutions Architect
Excel,Business Intelligence,3.93,Yes,Product Manager
AWS,Automation,3.91,No,Cloud Engineer
Linux,Web Development,2.73,No,QA Engineer
Flutter,Web Development,2.73,Yes,Mobile App Developer
C++,Automation,3.77,No,Software Engineer
Node.js,UI/UX Design,2.6,Yes,Frontend Developer
Machine Learning,Robotics,3.7,No,AI Engineer
Express.js,Backend Development,3.2,No,Backend Developer
REST APIs,Mobile App Development,3.12,Yes,Flutter Developer
SQL,UI/UX Design,3.06,Yes,Product Manager
NumPy,Machine Learning,3.98,Yes,Machine Learning Engineer
Pandas,Database Management,3.31,No,Database Administrator
AWS,Research,3.0,Yes,Cyber Security Analyst
Docker,Software Development,3.41,No,QA Engineer
React,UI/UX Design,3.63,No,Frontend Developer
Docker,Cyber Security,2.97,Yes,Network Engineer
MongoDB,Software Development,2.94,Yes,Flutter Developer
Git,Database Management,3.83,Yes,Full Stack Developer
Python,Cloud Computing,3.54,No,Cyber Security Analyst
React,Mobile App Development,2.96,No,Mobile App Developer
PyTorch,Robotics,3.31,No,AI Engineer
MySQL,Data Analytics,3.62,No,Database Administrator
Networking,Networking,3.48,Yes,System Administrator
Cyber Security,Cyber Security,3.22,Yes,Cyber Security Analyst
Dart,Mobile App Development,3.38,Yes,Flutter Developer
Azure,Networking,3.47,Yes,Network Engineer
Excel,Business Intelligence,3.77,Yes,Business Analyst
React,Database Management,3.52,Yes,Full Stack Developer
MongoDB,Software Development,3.38,No,Mobile App Developer
Docker,Artificial Intelligence,3.05,Yes,Machine Learning Engineer
TypeScript,Web Development,3.36,Yes,Frontend Developer
Data Science,Research,3.71,No,Data Scientist
Photoshop,Web Development,2.63,No,UI/UX Designer
Power BI,Data Analytics,3.42,No,Data Analyst
Flutter,Software Development,3.42,No,Flutter Developer
Kubernetes,Networking,3.4,Yes,Cloud Solutions Architect
Kubernetes,Cloud Computing,3.11,Yes,DevOps Engineer
Python,Web Development,2.89,Yes,QA Engineer
PostgreSQL,Data Analytics,3.06,Yes,Database Administrator
Deep Learning,Robotics,3.94,Yes,AI Engineer
SQL,Database Management,2.93,No,Full Stack Developer
Cloud Computing,Cloud Computing,3.42,Yes,Cloud Solutions Architect
Docker,DevOps,2.72,Yes,System Administrator
SQL,Artificial Intelligence,3.55,No,Data Scientist
Azure,Automation,3.99,Yes,Cloud Engineer
CSS,Web Development,2.85,Yes,Frontend Developer
Docker,Automation,3.16,Yes,QA Engineer
PyTorch,Machine Learning,3.27,No,AI Engineer
GitHub,Web Development,3.28,Yes,Software Engineer
Dart,Mobile App Development,3.7,Yes,Flutter Developer
Docker,Automation,3.24,No,System Administrator
Linux,Software Development,3.21,Yes,Backend Developer
Flutter,Web Development,3.21,No,Mobile App Developer
Java,Backend Development,2.95,Yes,Backend Developer
Deep Learning,Automation,3.63,No,Machine Learning Engineer
GitHub,Automation,3.33,No,Software Engineer
JavaScript,Software Development,3.71,Yes,Flutter Developer
MySQL,Data Analytics,3.56,No,Data Analyst
Firebase,Mobile App Development,3.6,No,Mobile App Developer
SQL,Business Intelligence,3.81,Yes,Product Manager
Python,Research,3.1,No,Software Engineer
MySQL,Database Management,3.12,No,Backend Developer
SQL,Automation,3.14,No,Software Engineer
JavaScript,Mobile App Development,2.82,Yes,Mobile App Developer
SQL,Data Analytics,2.82,No,Business Intelligence Analyst
JavaScript,UI/UX Design,3.33,No,Frontend Developer
Python,Artificial Intelligence,3.95,No,Machine Learning Engineer
Git,Cyber Security,3.7,Yes,Cyber Security Analyst
Flutter,Software Development,2.68,No,Mobile App Developer
Pandas,Data Analytics,3.5,Yes,Business Intelligence Analyst
REST APIs,Web Development,3.01,No,Software Engineer
REST APIs,Mobile App Development,3.23,Yes,Mobile App Developer
TypeScript,UI/UX Design,3.46,Yes,Frontend Developer
Networking,Networking,3.33,Yes,Cyber Security Analyst
SQL,Web Development,2.94,Yes,Full Stack Developer
Python,Machine Learning,3.35,No,AI Engineer
Kubernetes,Cloud Computing,3.91,Yes,Cloud Solutions Architect
Linux,Research,3.45,No,Cyber Security Analyst
Data Analysis,UI/UX Design,3.27,Yes,Product Manager
Python,Cyber Security,3.32,No,Network Engineer
Cloud Computing,DevOps,3.56,Yes,Cloud Solutions Architect
Git,Software Development,3.86,Yes,Product Manager
Pandas,Business Intelligence,3.8,No,Business Analyst
Deep Learning,Artificial Intelligence,3.76,No,AI Engineer
NumPy,Machine Learning,3.59,Yes,Machine Learning Engineer
Networking,Cloud Computing,3.23,Yes,Network Engineer
Linux,Networking,3.37,No,Cyber Security Analyst
GitHub,DevOps,3.49,Yes,DevOps Engineer
MySQL,Business Intelligence,2.96,Yes,Business Analyst
Azure,Automation,2.88,Yes,DevOps Engineer
Docker,Networking,3.2,Yes,System Administrator
Express.js,Database Management,3.7,No,Full Stack Developer
Python,Backend Development,3.73,No,Backend Developer
Flutter,Mobile App Development,2.77,No,Mobile App Developer
Linux,Software Development,3.63,Yes,Database Administrator
Azure,Networking,3.75,Yes,Network Engineer
Firebase,Mobile App Development,2.7,No,Mobile App Developer
SQL,Data Science,3.48,No,Machine Learning Engineer
React,Database Management,2.76,No,Full Stack Developer
Express.js,Web Development,3.45,No,Full Stack Developer
JavaScript,Automation,3.6,No,Software Engineer
SQL,Data Analytics,3.49,No,Product Manager
Terraform,Cloud Computing,3.97,Yes,Cloud Solutions Architect
Excel,Data Science,3.66,No,Data Scientist
AWS,DevOps,3.4,No,Cloud Solutions Architect
PyTorch,Robotics,3.6,No,AI Engineer
MongoDB,Mobile App Development,3.68,No,Flutter Developer
MongoDB,Database Management,3.06,Yes,Backend Developer
CSS,Web Development,3.62,No,Full Stack Developer
Git,Research,2.84,No,Software Engineer
Cloud Computing,DevOps,3.81,Yes,Cloud Engineer
Git,Machine Learning,3.37,No,Machine Learning Engineer
REST APIs,Automation,2.83,Yes,Software Engineer
Express.js,Software Development,3.72,Yes,Backend Developer
Python,Automation,3.71,No,System Administrator
Python,Cloud Computing,3.53,Yes,System Administrator
PyTorch,Robotics,3.99,No,AI Engineer
Linux,Cyber Security,3.94,Yes,Cyber Security Analyst
PostgreSQL,Data Analytics,3.03,Yes,Data Analyst
GitHub,Research,3.0,Yes,Software Engineer
PostgreSQL,Data Analytics,2.97,Yes,Data Analyst
Git,DevOps,3.35,No,Cloud Engineer
MongoDB,Web Development,3.17,Yes,Full Stack Developer
Firebase,Software Development,3.41,Yes,Flutter Developer
TypeScript,UI/UX Design,3.06,No,Frontend Developer
AWS,Artificial Intelligence,3.69,Yes,AI Engineer
AWS,Networking,2.84,No,Network Engineer
Adobe XD,Web Development,3.79,Yes,UI/UX Designer
Networking,DevOps,3.87,Yes,Cloud Solutions Architect
TensorFlow,Robotics,3.37,No,AI Engineer
PostgreSQL,Data Science,3.41,Yes,Business Intelligence Analyst
Git,Mobile App Development,2.79,No,Mobile App Developer
Docker,DevOps,3.99,Yes,Cloud Solutions Architect
Linux,Software Development,3.29,Yes,Backend Developer
Git,Automation,3.87,No,Machine Learning Engineer
Linux,Backend Development,3.44,Yes,Backend Developer
Deep Learning,Artificial Intelligence,3.56,No,Machine Learning Engineer
Python,Data Science,3.99,No,Data Scientist
Python,Business Intelligence,3.06,Yes,Product Manager
SQL,DevOps,3.25,Yes,Network Engineer
Excel,Data Science,3.23,No,Data Analyst
Git,DevOps,3.11,No,DevOps Engineer
Terraform,Networking,3.77,Yes,Cloud Engineer
Node.js,Database Management,3.6,No,Full Stack Developer
AWS,Cloud Computing,3.27,Yes,Cloud Solutions Architect
Python,Data Science,3.04,No,Business Intelligence Analyst
AWS,Cloud Computing,3.43,No,Cyber Security Analyst
Git,Research,3.3,Yes,Cyber Security Analyst
Pandas,Software Development,3.52,Yes,Database Administrator
Docker,Software Development,3.4,Yes,QA Engineer
Docker,Cloud Computing,3.75,No,Network Engineer
Cyber Security,Networking,3.27,Yes,Network Engineer
Express.js,Software Development,3.34,No,Backend Developer
Node.js,Software Development,3.11,Yes,Backend Developer
REST APIs,Database Management,3.01,Yes,Backend Developer
PyTorch,Research,3.41,Yes,Data Scientist
Java,Software Development,3.83,Yes,Backend Developer
Linux,DevOps,3.91,No,Cloud Engineer
Kubernetes,DevOps,3.1,Yes,System Administrator
React,UI/UX Design,2.97,No,Frontend Developer
SQL,Automation,2.81,Yes,QA Engineer
Flutter,Mobile App Development,2.83,No,Mobile App Developer
Machine Learning,Machine Learning,3.4,No,Data Scientist
Docker,Automation,3.48,No,Cloud Solutions Architect
Git,DevOps,3.73,Yes,DevOps Engineer
Git,Artificial Intelligence,3.78,No,Machine Learning Engineer
Git,Machine Learning,3.93,Yes,Machine Learning Engineer
SQL,Business Intelligence,3.37,Yes,Business Intelligence Analyst
REST APIs,Research,3.41,No,Software Engineer
SQL,Data Analytics,3.33,No,Business Intelligence Analyst
Data Analysis,UI/UX Design,3.94,Yes,Product Manager
Next.js,Web Development,3.19,Yes,Frontend Developer
PyTorch,Machine Learning,3.24,No,Machine Learning Engineer
Pandas,Data Analytics,3.45,No,Business Intelligence Analyst
React,Software Development,3.42,Yes,Full Stack Developer
Figma,UI/UX Design,3.59,No,UI/UX Designer
Data Analysis,Data Analytics,3.39,Yes,Business Intelligence Analyst
MySQL,Database Management,3.66,No,Database Administrator
Ethical Hacking,Networking,3.61,No,Cyber Security Analyst
MongoDB,Mobile App Development,3.05,No,Flutter Developer
GitHub,Software Development,3.29,Yes,Software Engineer
AWS,Cloud Computing,3.72,Yes,Cloud Solutions Architect
MongoDB,Database Management,3.09,Yes,Full Stack Developer
MongoDB,Mobile App Development,3.4,Yes,Flutter Developer
Docker,Cloud Computing,3.44,Yes,Cloud Solutions Architect
Docker,DevOps,3.73,Yes,System Administrator
Networking,Networking,3.01,Yes,Cyber Security Analyst
JavaScript,Web Development,3.02,No,Full Stack Developer
Docker,Machine Learning,3.3,No,AI Engineer
Cyber Security,Research,3.52,Yes,Cyber Security Analyst
Next.js,Web Development,3.66,No,Frontend Developer
Python,Automation,3.43,Yes,Cloud Engineer
Machine Learning,Machine Learning,3.17,No,Data Scientist
Cloud Computing,Automation,3.42,Yes,Cloud Solutions Architect
Pandas,Software Development,3.3,Yes,Database Administrator
Pandas,Data Science,3.06,Yes,Machine Learning Engineer
Figma,Data Analytics,3.55,No,Product Manager
Networking,Automation,3.78,Yes,Cloud Solutions Architect
Cyber Security,Networking,2.87,Yes,Network Engineer
Deep Learning,Research,3.6,Yes,Data Scientist
Express.js,Backend Development,3.69,Yes,Backend Developer
Figma,Business Intelligence,3.25,No,Product Manager
SQL,Networking,2.78,No,Network Engineer
Java,Web Development,3.25,Yes,Mobile App Developer
Selenium,Automation,3.22,Yes,QA Engineer
Python,Software Development,3.46,No,DevOps Engineer
REST APIs,Web Development,2.74,No,QA Engineer
AWS,Automation,3.51,No,DevOps Engineer
Excel,Data Analytics,3.4,No,Product Manager
Terraform,DevOps,3.45,Yes,Cloud Engineer
TypeScript,Web Development,3.12,No,Frontend Developer
Dart,Mobile App Development,3.29,Yes,Flutter Developer
Node.js,Database Management,3.36,Yes,Full Stack Developer
Networking,DevOps,3.78,Yes,Cloud Engineer
SQL,Cyber Security,2.74,Yes,Network Engineer
Flutter,Mobile App Development,3.72,Yes,Flutter Developer
Docker,Cyber Security,3.78,Yes,Cyber Security Analyst
Python,Artificial Intelligence,3.83,No,AI Engineer
Git,Software Development,3.7,Yes,Mobile App Developer
Git,Networking,3.23,Yes,Cloud Engineer
UI/UX,Web Development,3.7,Yes,UI/UX Designer
Deep Learning,Research,3.79,Yes,Data Scientist
Cloud Computing,DevOps,3.63,No,Cloud Engineer
NumPy,Robotics,3.52,No,AI Engineer
PostgreSQL,Software Development,3.06,Yes,Backend Developer
REST APIs,Automation,2.74,No,QA Engineer
MongoDB,Web Development,3.04,Yes,Mobile App Developer
Selenium,Automation,3.35,Yes,QA Engineer
AWS,Data Science,3.4,Yes,Machine Learning Engineer
PyTorch,Research,3.44,Yes,AI Engineer
Oracle,Software Development,3.72,No,Database Administrator
REST APIs,Software Development,3.14,Yes,Mobile App Developer
MongoDB,Backend Development,3.22,No,Backend Developer
Docker,Cyber Security,3.34,No,Cyber Security Analyst
AWS,Cloud Computing,3.65,No,Cloud Engineer
SQL,Business Intelligence,3.55,No,Business Analyst
Networking,Cloud Computing,3.58,No,Network Engineer
React,Web Development,2.71,No,UI/UX Designer
Figma,Mobile App Development,3.08,No,UI/UX Designer
NumPy,Automation,3.89,Yes,Machine Learning Engineer
SQL,Web Development,3.51,Yes,QA Engineer
Firebase,Web Development,2.63,Yes,Mobile App Developer
Linux,Cloud Computing,2.97,No,Cyber Security Analyst
Node.js,Web Development,3.53,No,Full Stack Developer
Docker,Software Development,3.8,No,DevOps Engineer
Security,Networking,3.23,No,Cloud Solutions Architect
Node.js,Web Development,3.89,No,Full Stack Developer
Pandas,Database Management,3.73,Yes,Database Administrator
Dart,Mobile App Development,3.08,No,Flutter Developer
AWS,Software Development,3.45,No,DevOps Engineer
Linux,Research,3.34,No,Software Engineer
PostgreSQL,Data Analytics,3.41,Yes,Database Administrator
Power BI,Research,3.91,No,Data Scientist
Photoshop,Mobile App Development,3.4,No,UI/UX Designer
Git,Automation,3.8,No,Software Engineer
Docker,DevOps,2.71,Yes,Network Engineer
Cloud Computing,Networking,3.21,No,Cloud Solutions Architect
Tableau,Research,3.69,No,Data Scientist
GitHub,Automation,3.09,Yes,DevOps Engineer
Git,Automation,3.21,No,DevOps Engineer
Networking,Cloud Computing,3.71,No,Cloud Solutions Architect
Firebase,Mobile App Development,2.76,No,Flutter Developer
Docker,Networking,3.65,No,Cyber Security Analyst
Figma,Software Development,3.55,Yes,Product Manager
Dart,Software Development,3.65,No,Flutter Developer
Linux,Software Development,3.61,Yes,Database Administrator
PostgreSQL,Data Analytics,3.46,Yes,Data Analyst
UI/UX,Web Development,2.64,Yes,UI/UX Designer
JavaScript,Database Management,3.78,No,Full Stack Developer
Networking,Cyber Security,3.21,Yes,Cyber Security Analyst
SQL,UI/UX Design,3.23,Yes,Product Manager
Git,Research,3.68,Yes,Software Engineer
Kubernetes,DevOps,3.61,No,Cloud Solutions Architect
Python,Software Development,3.89,No,Product Manager
TensorFlow,Data Science,3.82,Yes,Machine Learning Engineer
UI/UX,Mobile App Development,3.72,No,UI/UX Designer
Docker,DevOps,3.64,No,DevOps Engineer
TensorFlow,Machine Learning,3.96,No,Data Scientist
Node.js,UI/UX Design,2.67,Yes,Frontend Developer
CSS,Software Development,3.26,Yes,Frontend Developer
Git,Automation,3.97,No,Software Engineer
MongoDB,Backend Development,3.5,Yes,Backend Developer
JavaScript,Software Development,3.29,No,Frontend Developer
Deep Learning,Artificial Intelligence,3.32,Yes,Machine Learning Engineer
SQL,Data Science,3.0,Yes,Business Intelligence Analyst
GitHub,Cloud Computing,2.81,No,DevOps Engineer
Kubernetes,Automation,3.19,Yes,DevOps Engineer
Python,Cloud Computing,3.88,Yes,Cyber Security Analyst
JavaScript,Software Development,3.44,Yes,Flutter Developer
Linux,Artificial Intelligence,3.53,No,AI Engineer
TensorFlow,Research,3.44,Yes,Data Scientist
SQL,Networking,2.71,Yes,Network Engineer
PostgreSQL,Data Analytics,3.49,Yes,Database Administrator
Python,DevOps,3.61,Yes,Cloud Solutions Architect
NumPy,Research,3.03,No,Data Scientist
REST APIs,Software Development,3.05,No,Software Engineer
CSS,Mobile App Development,3.37,No,UI/UX Designer
TypeScript,Software Development,3.18,No,Frontend Developer
HTML,UI/UX Design,3.46,No,UI/UX Designer
Excel,Data Science,2.89,Yes,Business Intelligence Analyst
Dart,Software Development,2.76,No,Flutter Developer
PyTorch,Machine Learning,3.43,No,Machine Learning Engineer
Data Science,Data Science,3.69,No,Data Scientist
Linux,Data Analytics,2.85,No,Database Administrator
Docker,Research,3.6,Yes,AI Engineer
Git,Web Development,2.72,No,QA Engineer
MySQL,Research,3.5,No,Business Analyst
Networking,Cloud Computing,3.41,No,Cyber Security Analyst
Docker,Software Development,3.08,No,Backend Developer
PostgreSQL,Data Analytics,3.44,No,Data Analyst
Python,Research,3.27,No,Cyber Security Analyst
Data Analysis,Data Analytics,2.93,Yes,Business Intelligence Analyst
PyTorch,Artificial Intelligence,3.71,No,AI Engineer
AWS,Automation,3.67,Yes,Cloud Engineer
Python,DevOps,3.93,Yes,Cloud Solutions Architect
SQL,Data Analytics,3.9,Yes,Data Analyst
REST APIs,Software Development,3.2,Yes,Flutter Developer
Azure,Artificial Intelligence,3.98,Yes,AI Engineer
Bash,Software Development,3.41,No,DevOps Engineer
Python,Cloud Computing,3.43,No,DevOps Engineer
Python,Data Science,2.82,No,Data Analyst
Networking,DevOps,3.12,Yes,DevOps Engineer
JavaScript,Software Development,3.08,No,Mobile App Developer
Linux,Automation,3.44,Yes,System Administrator
Bash,Software Development,3.46,No,DevOps Engineer
TensorFlow,Data Science,3.61,Yes,Machine Learning Engineer
SQL,Data Analytics,3.75,No,Data Analyst
Express.js,Web Development,3.02,No,Full Stack Developer
Firebase,Database Management,3.03,Yes,Full Stack Developer
MySQL,Software Development,3.45,Yes,Database Administrator
GitHub,Cloud Computing,2.83,No,DevOps Engineer
CSS,Web Development,3.37,Yes,Frontend Developer
JavaScript,Web Development,3.57,Yes,QA Engineer
Git,Mobile App Development,2.67,Yes,Mobile App Developer
NumPy,Research,2.97,Yes,Data Analyst
Git,Data Analytics,3.12,Yes,Product Manager
SQL,Backend Development,2.7,Yes,Backend Developer
Machine Learning,Artificial Intelligence,3.24,Yes,Data Scientist
C++,Automation,3.41,No,Software Engineer
Excel,Software Development,3.18,Yes,Product Manager
NumPy,Research,3.0,Yes,Data Scientist
Docker,Networking,3.99,Yes,Cyber Security Analyst
MongoDB,Software Development,3.04,No,Backend Developer
Linux,Cyber Security,3.63,No,Network Engineer
Git,Software Development,3.32,Yes,DevOps Engineer
Excel,Research,3.03,No,Business Analyst
Azure,Research,3.7,No,AI Engineer
Power BI,Business Intelligence,3.8,Yes,Data Analyst
Data Analysis,Business Intelligence,3.12,Yes,Business Intelligence Analyst
Cloud Computing,DevOps,3.75,Yes,Cloud Solutions Architect
Docker,Networking,3.4,No,Cloud Solutions Architect
Data Analysis,Business Intelligence,3.35,No,Business Analyst
Firebase,Mobile App Development,2.78,Yes,Flutter Developer
PostgreSQL,Data Analytics,3.43,Yes,Database Administrator
Linux,Cyber Security,3.81,No,Cyber Security Analyst
PostgreSQL,Business Intelligence,3.64,Yes,Data Analyst
AWS,Cyber Security,3.73,No,Network Engineer
Deep Learning,Data Science,3.5,Yes,Machine Learning Engineer
JavaScript,Software Development,2.96,No,Flutter Developer
Pandas,Research,2.89,Yes,Business Analyst
Docker,Automation,3.01,No,Cloud Engineer
Docker,Research,3.04,No,Cyber Security Analyst
MySQL,Software Development,2.93,No,Database Administrator
AWS,Automation,3.2,Yes,Cloud Solutions Architect
Bash,Cloud Computing,2.97,Yes,System Administrator
AWS,DevOps,3.87,Yes,Cloud Engineer
Python,UI/UX Design,3.66,Yes,Product Manager
Networking,DevOps,2.62,No,System Administrator
Azure,Research,3.53,No,AI Engineer
Power BI,Business Intelligence,3.29,Yes,Business Analyst
Networking,Cloud Computing,2.8,Yes,Network Engineer
Express.js,Software Development,3.36,No,Full Stack Developer
TypeScript,UI/UX Design,3.32,No,Frontend Developer
React,Database Management,3.14,No,Full Stack Developer
SQL,Automation,3.37,No,QA Engineer
Pandas,Data Analytics,2.9,Yes,Database Administrator
SQL,Database Management,3.86,Yes,Database Administrator
SQL,Cyber Security,3.7,Yes,Network Engineer
Express.js,Database Management,3.47,Yes,Full Stack Developer
Deep Learning,Research,3.48,No,AI Engineer
Docker,Cloud Computing,3.53,Yes,Cloud Engineer
Pandas,Research,3.33,Yes,Business Analyst
SQL,DevOps,3.38,No,Network Engineer
MySQL,Data Science,2.89,Yes,Data Analyst
SQL,Data Science,3.59,Yes,Business Intelligence Analyst
Terraform,Cloud Computing,3.33,No,Cloud Solutions Architect
Docker,DevOps,3.57,Yes,System Administrator
Power BI,Data Science,3.66,No,Business Intelligence Analyst
Firebase,Software Development,3.19,Yes,Mobile App Developer
SQL,Data Analytics,3.7,No,Product Manager
React,UI/UX Design,2.89,No,Frontend Developer
Machine Learning,Machine Learning,3.85,No,Machine Learning Engineer
SQL,DevOps,3.74,Yes,Network Engineer
MongoDB,Backend Development,3.42,Yes,Backend Developer
AWS,DevOps,2.94,No,System Administrator
Firebase,Software Development,2.67,No,Mobile App Developer
Data Science,Artificial Intelligence,3.67,No,Data Scientist
Data Analysis,Data Analytics,3.58,Yes,Business Intelligence Analyst
Node.js,Software Development,3.68,No,Backend Developer
Machine Learning,Research,3.57,No,AI Engineer
Figma,Software Development,3.84,No,Product Manager
Tableau,Business Intelligence,3.51,Yes,Business Analyst
UI/UX,Mobile App Development,2.68,Yes,UI/UX Designer
Python,Software Development,3.13,Yes,Product Manager
Deep Learning,Data Science,3.24,No,Data Scientist
Figma,UI/UX Design,3.65,Yes,Product Manager
HTML,Web Development,2.66,Yes,UI/UX Designer
React,Web Development,3.86,Yes,Full Stack Developer
Git,Mobile App Development,2.66,No,Flutter Developer
Terraform,DevOps,3.58,Yes,Cloud Solutions Architect
Power BI,Business Intelligence,3.89,No,Business Analyst
TensorFlow,Research,3.45,No,Data Scientist
Networking,Networking,3.01,No,System Administrator
Cloud Computing,Networking,2.98,No,Cloud Engineer
React,Software Development,3.16,Yes,Frontend Developer
Linux,Machine Learning,3.43,Yes,Machine Learning Engineer
Git,Research,3.4,No,Cyber Security Analyst
Docker,Cloud Computing,3.24,Yes,Network Engineer
PyTorch,Robotics,3.87,Yes,AI Engineer
REST APIs,Mobile App Development,3.77,Yes,Mobile App Developer
SQL,Software Development,3.16,No,Database Administrator
Networking,DevOps,3.01,Yes,System Administrator
Linux,DevOps,3.39,No,Cloud Solutions Architect
Cyber Security,Cloud Computing,3.15,No,Cyber Security Analyst
AWS,Cloud Computing,2.75,Yes,System Administrator
PyTorch,Research,3.4,No,Data Scientist
Machine Learning,Machine Learning,3.27,No,Data Scientist
C++,Research,3.17,No,Software Engineer
Python,Software Development,2.75,Yes,QA Engineer
Linux,Web Development,2.83,No,Software Engineer
Docker,Cloud Computing,3.47,Yes,DevOps Engineer
Docker,Data Science,3.79,Yes,Machine Learning Engineer
AWS,Cloud Computing,3.02,No,Cloud Engineer
MongoDB,Data Analytics,2.85,No,Database Administrator
HTML,Web Development,2.68,Yes,UI/UX Designer
Docker,Software Development,3.62,No,Software Engineer
Git,Web Development,2.98,Yes,Mobile App Developer
HTML,Web Development,2.84,Yes,UI/UX Designer
Linux,Machine Learning,3.5,No,AI Engineer
Cyber Security,Cyber Security,3.21,No,Network Engineer
MongoDB,Software Development,3.81,Yes,Full Stack Developer
Dart,Web Development,3.64,No,Mobile App Developer
Data Science,Data Science,3.86,No,Data Scientist
SQL,Research,3.38,No,Data Scientist
Git,Automation,3.42,Yes,QA Engineer
Power BI,Business Intelligence,3.27,Yes,Data Analyst
Docker,DevOps,3.68,No,DevOps Engineer
